epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,78.8981,0.48056,0.38277,0.85577,0.90427,0.78431,0.81807,0.6632,0.56249,0.50601,0.80829,0.0007724,0.0007724,0.0007724
33,81.4417,0.46538,0.3881,0.87183,0.91888,0.78431,0.83033,0.65309,0.57467,0.486,0.81896,0.0007328,0.0007328,0.0007328
34,83.896,0.45195,0.3749,0.87088,0.99621,0.72549,0.79397,0.65298,0.54602,0.44241,0.80617,0.0006932,0.0006932,0.0006932
35,86.428,0.45417,0.36957,0.86245,0.97027,0.72549,0.84651,0.6702,0.50314,0.41172,0.8024,0.0006536,0.0006536,0.0006536
36,89.0213,0.40362,0.34348,0.83845,0.90725,0.78431,0.82137,0.68297,0.51917,0.42389,0.80445,0.000614,0.000614,0.000614
37,91.6479,0.43934,0.35104,0.87186,0.90545,0.75116,0.83871,0.68359,0.4807,0.44795,0.80472,0.0005744,0.0005744,0.0005744
38,94.1912,0.45093,0.35783,0.86013,0.97477,0.78431,0.85231,0.69859,0.50261,0.3986,0.80194,0.0005348,0.0005348,0.0005348
39,96.9781,0.42326,0.34139,0.8579,0.94075,0.80392,0.84777,0.68845,0.49329,0.41337,0.80782,0.0004952,0.0004952,0.0004952
40,99.7487,0.42468,0.33993,0.84923,0.94571,0.80392,0.86766,0.68519,0.49849,0.47438,0.81406,0.0004556,0.0004556,0.0004556
41,119.532,0.39674,0.32835,0.81937,0.94203,0.80392,0.85813,0.6819,0.51636,0.4848,0.81258,0.000416,0.000416,0.000416
42,122.145,0.38994,0.31549,0.80124,0.98823,0.72549,0.83763,0.67789,0.48206,0.45691,0.80952,0.0003764,0.0003764,0.0003764
43,124.646,0.37712,0.30235,0.80996,0.92796,0.78431,0.85209,0.68709,0.51138,0.45768,0.80572,0.0003368,0.0003368,0.0003368
44,127,0.38014,0.29885,0.8123,0.9412,0.80392,0.88511,0.69132,0.50379,0.44186,0.8023,0.0002972,0.0002972,0.0002972
45,129.431,0.37804,0.29289,0.81167,0.93333,0.7451,0.86591,0.70031,0.50678,0.40264,0.81168,0.0002576,0.0002576,0.0002576
46,131.924,0.35705,0.27376,0.79675,0.9402,0.7451,0.84285,0.68668,0.50405,0.39928,0.81395,0.000218,0.000218,0.000218
47,134.419,0.34742,0.27298,0.80453,0.93169,0.80229,0.85648,0.6945,0.48203,0.42223,0.80664,0.0001784,0.0001784,0.0001784
48,136.946,0.34128,0.27186,0.79338,0.86125,0.78431,0.82928,0.67071,0.48345,0.42393,0.80735,0.0001388,0.0001388,0.0001388
49,139.366,0.35039,0.27142,0.80568,0.88502,0.80392,0.84096,0.66926,0.48516,0.41835,0.80907,9.92e-05,9.92e-05,9.92e-05
50,141.801,0.33774,0.27091,0.80204,0.88261,0.80392,0.83745,0.66976,0.48725,0.42474,0.8131,5.96e-05,5.96e-05,5.96e-05
